ID	Name	Length	G2B2_1	G2B2_2	G2B2_3	I47F_1	I47F_2	I47F_3	logFC	logCPM	PValue	FDR
ENSG00000196767	POU3F4	1506	0	0	0	15.77641359	13.95231496	14.75109435	10.9755957	3.452329047	7.85E-123	5.16E-120
ENSG00000138653	NDST4	3852	0	0	0	12.36954687	12.45947468	12.5726627	10.72484773	2.172789178	5.36E-69	1.01E-66
ENSG00000272294	RP3-326L13.3	831	0	0	0.052598135	22.06601369	23.6557768	23.8382664	9.710017987	3.957947194	3.51E-152	3.58E-149
ENSG00000082397	EPB41L3	9044	0.135538248	0	0.052598135	27.30734711	24.28736308	28.31961152	8.605700463	2.825695818	8.98E-115	5.16E-112
ENSG00000254535	PABPC4L	4942	0	0	0	2.935146714	3.157931369	2.116190751	8.544296264	1.179893352	2.26E-27	9.36E-26
ENSG00000162687	KCNT2	9643	0.067769124	0	0.052598135	16.87709361	16.01932458	20.29053485	8.52764347	2.998554382	2.86E-112	1.59E-109
ENSG00000260398	RP11-594N15.3	3753	0	0	0	2.201360036	2.526345096	3.423249744	8.521344711	0.781791737	4.43E-31	2.24E-29
ENSG00000272511	RP11-180N14.1	1722	0	0	0	2.411013372	2.526345096	3.174286126	8.517038079	1.342664046	2.66E-32	1.40E-30
ENSG00000198121	LPAR1	6545	0	0.064825686	0	9.381986819	9.244126372	8.340281195	8.343685753	4.199772873	1.26E-67	2.30E-65
ENSG00000189060	H1F0	2328	0.067769124	0	0.368186946	46.07132075	50.64173578	52.22011882	8.216106032	4.320101051	2.26E-59	3.36E-57
ENSG00000248801	RP11-664D7.4	1839	0	0	0	1.310333355	2.181843492	2.676358891	8.122517224	-0.491226398	3.15E-17	6.29E-16
ENSG00000120708	TGFBI	5439	0	0	0	1.310333355	1.837341888	1.742745324	7.790067311	-0.806923047	3.22E-19	7.60E-18
ENSG00000179399	GPC5	3010	0	0	0	1.834466696	1.550257218	1.431540802	7.777033291	0.062575608	4.62E-16	8.46E-15
